YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00100,공통_임원,3300077801,2024-10-02,2024-10-02,회의비,,,1711818.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00100,공통_임원,3300077814,2024-10-08,2024-10-08,회의비,,,809091.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00100,공통_임원,3300077816,2024-10-14,2024-10-14,회의비,,,709091.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00100,공통_임원,3300077818,2024-10-15,2024-10-15,회의비,,,434545.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00300,공통_총무,3300075740,2024-10-15,2024-10-15,"신사옥 현장 회의(BNA,FNF,두양건축)",,,226364.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00300,공통_총무,3300077927,2024-10-31,2024-10-31,복리후생비,,,214000.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00100,공통_임원,3300076667,2024-10-22,2024-10-22,24.10월 대표님 미팅시 음료,,,144273.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F04200,공통_통합마케팅팀,3300079784,2024-10-28,2024-10-28,24.10 법인카드 사용의건_회의비,,,133100.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00900,공통_디지털본부담당,3300079300,2024-10-24,2024-10-24,외부미팅,,,125455.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F01200,공통_e-BIZ팀,3300076043,2024-10-28,2024-10-28,듀베티카 오픈 새벽 작업 회의비,,,86400.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F01300,공통_IT팀,3300075533,2024-10-08,2024-10-08,자사몰 리뉴얼 전체 회의 (외주 포함),,,83727.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00300,공통_총무,3300076679,2024-10-08,2024-10-08,24.10 수행기사 업무협의비,,,72727.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00300,공통_총무,3300076088,2024-10-22,2024-10-22,24.10 공통 총무팀 회의비,,,70000.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00300,공통_총무,3300076682,2024-10-17,2024-10-17,24.10 수행기사 업무협의비,,,69091.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F01200,공통_e-BIZ팀,3300080023,2024-10-30,2024-10-30,세르지오 이비즈 영업회의비,,,69091.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00300,공통_총무,3300076683,2024-10-24,2024-10-24,24.10 수행기사 업무협의비,,,62727.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00300,공통_총무,3300076554,2024-10-21,2024-10-21,복리후생비,,,60000.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F03000,공통_AI 엔지니어링팀,3300078274,2024-10-17,2024-10-17,241017 교육비,,,55000.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F03700,공통_통합인테리어팀,3300074093,2024-10-07,2024-10-07,"업체 회의비 (구디자인 업무 후임 관련 회의/이지형, 구디자인 3인)",,,54545.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F03000,공통_AI 엔지니어링팀,3300078285,2024-10-24,2024-10-24,241024 교육비,,,51500.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00300,공통_총무,3300075849,2024-10-14,2024-10-14,24.10 공통 총무팀 회의비,,,50909.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00300,공통_총무,3300075756,2024-10-16,2024-10-16,24.10 공통 총무팀 회의비,,,49091.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00300,공통_총무,3300076092,2024-10-04,2024-10-04,24.10 공통 총무팀 회의비,,,48182.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00100,공통_임원,3300077738,2024-10-25,2024-10-25,인테리어 미팅 접대,,,48000.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F03800,공통_운영전략팀,3300076395,2024-10-31,2024-10-31,소재소싱 월 정기미팅,,,47545.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00100,공통_임원,3300073469,2024-10-10,2024-10-10,회의비,,,46800.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F01300,공통_IT팀,3300072363,2024-10-11,2024-10-11,업체미팅(루브릭랩스/유통/8인),,,45909.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F01300,공통_IT팀,3300072708,2024-10-16,2024-10-16,WMS 3pl프로세스 미팅 w/용마,,,44545.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00300,공통_총무,3300076560,2024-10-22,2024-10-22,복리후생비,,,43636.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00100,공통_임원,3300073470,2024-10-14,2024-10-14,회의비,,,43200.0,S
202410,직원경비,복리후생비,55010111,복리후생비_회의비,F00500,공통_HR팀,3300077910,2024-10-23,2024-10-23,"노무 관련 조사 중 식대 ( 조성호 노무사,",,,41364.0,S
