YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202510,직원경비,여비교통비,55030103,여비교통비_해외출장비,F00100,공통_임원,3300062818,2025-10-23,2025-10-23,해외출장비,,,2355994.0,S
202510,직원경비,여비교통비,55030103,여비교통비_해외출장비,F04500,공통_통합소싱팀,3300059397,2025-10-16,2025-10-16,2510ZVN10006_항공비_26S 품질 검사 출장 항공권 2인,,,1763200.0,S
202510,직원경비,여비교통비,55030103,여비교통비_해외출장비,F00100,공통_임원,3300059097,2025-10-11,2025-10-11,대표님 상해 출장 호텔,,,1688123.0,S
202510,직원경비,여비교통비,55030103,여비교통비_해외출장비,F00100,공통_임원,3300061841,2025-10-20,2025-10-20,12월 대표님 홍콩출장,,,1483400.0,S
202510,직원경비,여비교통비,55030103,여비교통비_해외출장비,F00100,공통_임원,3300061842,2025-10-20,2025-10-20,12월 감사님 홍콩출장,,,1483400.0,S
202510,직원경비,여비교통비,55030103,여비교통비_해외출장비,F04500,공통_통합소싱팀,3300062619,2025-10-20,2025-10-20,2510ZHK10021_항공비_항공료,,,1259600.0,S
202510,직원경비,여비교통비,55030103,여비교통비_해외출장비,F04500,공통_통합소싱팀,3300062614,2025-10-17,2025-10-17,2510ZHK10021_숙박비_숙박비(홍콩),,,777381.0,S
202510,직원경비,여비교통비,55030103,여비교통비_해외출장비,F04500,공통_통합소싱팀,3300059400,2025-10-16,2025-10-16,2510ZVN10006_숙박비_26S 품질 검사 출장 숙박비,,,707813.0,S
202510,직원경비,여비교통비,55030103,여비교통비_해외출장비,F04500,공통_통합소싱팀,3300059399,2025-10-16,2025-10-16,2510ZVN10006_숙박비_26S 품질 검사 출장 숙박비,,,707813.0,S
202510,직원경비,여비교통비,55030103,여비교통비_해외출장비,F04500,공통_통합소싱팀,3600000088,2025-10-16,2025-10-16,2510ZHK10021_일비_ST 26SS 생산현황 점검 및 26FW DV 미팅,,,626736.0,S
202510,직원경비,여비교통비,55030103,여비교통비_해외출장비,F02900,공통_AX팀,3300059856,2025-10-20,2025-10-20,2510ZCN10022_항공비_중국출장비용_항공권,,,626500.0,S
202510,직원경비,여비교통비,55030103,여비교통비_해외출장비,F04500,공통_통합소싱팀,3600000086,2025-10-15,2025-10-15,2510ZVN10006_일비_26S MCCC 품질 검수,,,428520.0,S
202510,직원경비,여비교통비,55030103,여비교통비_해외출장비,F04500,공통_통합소싱팀,3600000087,2025-10-15,2025-10-15,2510ZVN10006_일비_26S MCCC 품질 검수,,,428520.0,S
202510,직원경비,여비교통비,55030103,여비교통비_해외출장비,F04500,공통_통합소싱팀,3300062615,2025-10-17,2025-10-17,2510ZHK10021_숙박비_숙박비(베트남),,,399884.0,S
202510,직원경비,여비교통비,55030103,여비교통비_해외출장비,F02900,공통_AX팀,3300059855,2025-10-20,2025-10-20,2510ZCN10022_항공비_중국출장비용_항공권,,,274272.0,S
202510,직원경비,여비교통비,55030103,여비교통비_해외출장비,F00100,공통_임원,3300059101,2025-10-13,2025-10-13,해외출장비,,,245607.0,S
202510,직원경비,여비교통비,55030103,여비교통비_해외출장비,F02900,공통_AX팀,3300059858,2025-10-23,2025-10-23,2510ZCN10022_숙박비_중국출장비용_숙박비,,,245409.0,S
202510,직원경비,여비교통비,55030103,여비교통비_해외출장비,F00600,공통_공간기획팀,3300058852,2025-10-01,2025-10-01,2509ZHK10010_일비_일비,,,213157.0,S
202510,직원경비,여비교통비,55030103,여비교통비_해외출장비,F00600,공통_공간기획팀,3300063332,2025-10-01,2025-10-01,2509ZHK10010_일비_해외출장_일비,,,213157.0,S
