YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202511,인건비,인건비,53010105,잡급,F04900,공통_통합인플루언서마케팅팀,8100000012,2025-11-28,2025-11-28,25.11월_공통_통합인플루언서마케팅팀_잡급(급여),,,3938114.0,S
202511,인건비,인건비,53010105,잡급,F04200,공통_통합마케팅팀,8100000012,2025-11-28,2025-11-28,25.11월_공통_통합마케팅팀_잡급(급여),,,2747390.0,S
202511,인건비,인건비,53010105,잡급,F03700,공통_통합인테리어팀,8100000012,2025-11-28,2025-11-28,25.11월_공통_통합인테리어팀_잡급(급여),,,2267582.0,S
202511,인건비,인건비,53010105,잡급,F04400,공통_통합영업팀,8100000012,2025-11-28,2025-11-28,25.11월_공통_통합영업팀_잡급(급여),,,2199038.0,S
202511,인건비,인건비,53010105,잡급,F01800,공통_소비자전략팀,8100000012,2025-11-28,2025-11-28,25.11월_공통_소비자전략팀_잡급(급여),,,2130494.0,S
202511,인건비,인건비,53010105,잡급,F02900,공통_AX팀,8100000012,2025-11-28,2025-11-28,25.11월_디지털본부_AX팀_잡급(급여),,,2100000.0,S
202511,인건비,인건비,53010105,잡급,F04200,공통_통합마케팅팀,3200007348,2025-11-21,2025-11-21,통합마케팅팀 아르바이트 11월 송나영 급여,,,1556933.0,S
202511,인건비,인건비,53010105,잡급,F04900,공통_통합인플루언서마케팅팀,8100000012,2025-11-28,2025-11-28,25.11월_공통_통합인플루언서마케팅팀_잡급(제수당),,,1442894.0,S
202511,인건비,인건비,53010105,잡급,F04400,공통_통합영업팀,3200007389,2025-11-30,2025-12-02,DV_롯데월드타워 11월 아프바이트 정산,,,864000.0,S
202511,인건비,인건비,53010105,잡급,F04200,공통_통합마케팅팀,8100000012,2025-11-28,2025-11-28,25.11월_공통_통합마케팅팀_잡급(제수당),,,835945.0,S
202511,인건비,인건비,53010105,잡급,F03700,공통_통합인테리어팀,8100000012,2025-11-28,2025-11-28,25.11월_공통_통합인테리어팀_잡급(제수당),,,732419.0,S
202511,인건비,인건비,53010105,잡급,F04400,공통_통합영업팀,8100000012,2025-11-28,2025-11-28,25.11월_공통_통합영업팀_잡급(제수당),,,717629.0,S
202511,인건비,인건비,53010105,잡급,F01800,공통_소비자전략팀,8100000012,2025-11-28,2025-11-28,25.11월_공통_소비자전략팀_잡급(제수당),,,702840.0,S
202511,인건비,인건비,53010105,잡급,F02900,공통_AX팀,8100000012,2025-11-28,2025-11-28,25.11월_디지털본부_AX팀_잡급(제수당),,,200000.0,S
