YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F05100,공통_마케팅본부,3400014478,2025-12-29,2025-12-29,25년 마케팅팀 전체 프로필 촬영_포토,,,1500000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F05100,공통_마케팅본부,3300076445,2025-12-10,2025-12-10,26SS 사업부 송년회,,,1363636.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F05100,공통_마케팅본부,3300072395,2025-12-10,2025-12-10,25년 마케팅팀 통합 회식_배경지,,,966091.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F02700,공통_Process담당,3300076378,2025-12-11,2025-12-11,복리후생비_회식대,,,763636.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F02700,공통_Process담당,3300076379,2025-12-23,2025-12-23,복리후생비_회식대,,,636364.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F00600,공통_공간기획팀,3300076354,2025-12-18,2025-12-18,공간기획팀 연말회식,,,632727.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F02700,공통_Process담당,3300076377,2025-12-18,2025-12-18,복리후생비_회식대,,,630000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F02700,공통_Process담당,3300076380,2025-12-17,2025-12-17,복리후생비_회식대,,,496364.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F01200,공통_e-BIZ팀,3300071072,2025-12-12,2025-12-12,조직개편 관련 리더 회식(김은영외 7인),,,465455.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F00600,공통_공간기획팀,3300075849,2025-12-01,2025-12-01,복리후생비_공간기획팀 11월 회식 재결제_차액 취소,,,400818.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F05100,공통_마케팅본부,3300073255,2025-12-09,2025-12-09,마케팅 본부 통합 회식 경품_올리브영,,,390909.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F00600,공통_공간기획팀,3300076339,2025-12-12,2025-12-12,공간기획팀 회식,,,371818.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F02500,공통_자금팀,3300070164,2025-12-02,2025-12-02,자금팀 저녁회식,,,306364.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F00500,공통_HR팀,3300072639,2025-12-15,2025-12-15,HR 외부 네트워킹 미팅,,,297273.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F05100,공통_마케팅본부,3300072049,2025-12-17,2025-12-17,워크숍 게임상품권_FAAL 20만원 식사권,,,207200.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F04500,공통_통합소싱팀,3300074067,2025-12-30,2025-12-30,회식비,,,181818.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F02400,공통_경영기획팀,3300074274,2025-12-22,2025-12-22,경영기획팀연말회식,,,172727.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F05100,공통_마케팅본부,3300076582,2025-12-11,2025-12-11,사업부 워크샵 상품,,,150000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F01300,공통_IT팀,3300074604,2025-12-10,2025-12-10,25.12 회식비,,,145909.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F05100,공통_마케팅본부,3300073256,2025-12-09,2025-12-09,마케팅 본부 통합 회식 경품_스타벅스,,,145455.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F03400,공통_자산관리팀,3300073038,2025-12-11,2025-12-11,팀회식,,,136364.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F03700,공통_통합인테리어팀,3300070543,2025-12-05,2025-12-05,통합인테리어팀 회식대(5인),,,109273.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F03700,공통_통합인테리어팀,3300070543,2025-12-05,2025-12-05,통합인테리어팀 회식대(5인),,,109273.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F03700,공통_통합인테리어팀,3300070543,2025-12-05,2025-12-05,통합인테리어팀 회식대(5인),,,109273.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F03700,공통_통합인테리어팀,3300070543,2025-12-05,2025-12-05,통합인테리어팀 회식대(5인),,,109273.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F03700,공통_통합인테리어팀,3300070543,2025-12-05,2025-12-05,통합인테리어팀 회식대(5인),,,109273.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F01200,공통_e-BIZ팀,3300071139,2025-12-16,2025-12-16,회의비,,,108182.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F00800,공통_경영관리팀,3300075608,2025-12-23,2025-12-23,경영관리 회식대,,,101818.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F01800,공통_소비자전략팀,3300070841,2025-12-12,2025-12-12,25.12월 공통 소비자전략팀 회식비,,,100909.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F00500,공통_HR팀,3300072637,2025-12-10,2025-12-10,외부 인사담당자 미팅,,,100000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F00500,공통_HR팀,3300072635,2025-12-03,2025-12-03,채용 후보자 미팅,,,100000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F01300,공통_IT팀,3300073243,2025-12-02,2025-12-02,ES팀 회식대(SCM),,,98182.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F05100,공통_마케팅본부,3300076289,2025-12-08,2025-12-08,25년 마케팅팀 회식_배경지,,,95000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F02500,공통_자금팀,3300073262,2025-12-29,2025-12-29,DB증권 연말식사,,,94545.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F04400,공통_통합영업팀,3300075989,2025-12-30,2025-12-30,DV_12월 영업팀 복리후생비(팀회식),,,94000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F04400,공통_통합영업팀,3300075989,2025-12-30,2025-12-30,DV_12월 영업팀 복리후생비(팀회식),,,94000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F04400,공통_통합영업팀,3300075989,2025-12-30,2025-12-30,DV_12월 영업팀 복리후생비(팀회식),,,94000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F04400,공통_통합영업팀,3300075989,2025-12-30,2025-12-30,DV_12월 영업팀 복리후생비(팀회식),,,94000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F04400,공통_통합영업팀,3300075989,2025-12-30,2025-12-30,DV_12월 영업팀 복리후생비(팀회식),,,94000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F05100,공통_마케팅본부,3300073258,2025-12-09,2025-12-09,마케팅 본부 통합 회식 경품_스타벅스,,,90909.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F01300,공통_IT팀,3300074553,2025-12-31,2025-12-31,25년 12월 회식비,,,90909.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F05100,공통_마케팅본부,3300076618,2025-12-30,2025-12-30,DV 김지원 촬영종료 직원식대,,,90000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F02600,공통_정보보안팀,3300073983,2025-12-23,2025-12-23,정보보안팀 회식,,,85600.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F02600,공통_정보보안팀,3300073983,2025-12-23,2025-12-23,정보보안팀 회식,,,85600.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F02600,공통_정보보안팀,3300073983,2025-12-23,2025-12-23,정보보안팀 회식,,,85600.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F02600,공통_정보보안팀,3300073983,2025-12-23,2025-12-23,정보보안팀 회식,,,85600.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F02600,공통_정보보안팀,3300073983,2025-12-23,2025-12-23,정보보안팀 회식,,,85600.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F02500,공통_자금팀,3300070778,2025-12-11,2025-12-11,자금팀 팀빌딩 비,,,83636.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F01300,공통_IT팀,3300073969,2025-12-03,2025-12-03,에프앤코 주간매출실적 자동화 프로젝트 마무리 회식(외 에프앤코 영업기획파트 과장 2명),,,81818.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F01300,공통_IT팀,3300073969,2025-12-03,2025-12-03,에프앤코 주간매출실적 자동화 프로젝트 마무리 회식(외 에프앤코 영업기획파트 과장 2명),,,81818.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F00400,공통_법무팀,3300074295,2025-12-01,2025-12-01,25.12월 법무팀 회식비,,,76000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F00400,공통_법무팀,3300070909,2025-12-01,2025-12-01,25.12월 법무팀 회식비,,,76000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F00400,공통_법무팀,3300070909,2025-12-01,2025-12-01,25.12월 법무팀 회식비,,,76000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F00400,공통_법무팀,3300074295,2025-12-01,2025-12-01,25.12월 법무팀 회식비,,,76000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F00400,공통_법무팀,3300070909,2025-12-01,2025-12-01,25.12월 법무팀 회식비,,,76000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F00400,공통_법무팀,3300074295,2025-12-01,2025-12-01,25.12월 법무팀 회식비,,,76000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F03400,공통_자산관리팀,3300073618,2025-12-30,2025-12-30,협업부서 미팅 회식비,,,71818.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F02300,공통_안전보건팀,3300076609,2025-12-18,2025-12-18,25.12 공통 총무/HR 연말 회식비,,,70000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F00300,공통_총무,3300076609,2025-12-18,2025-12-18,25.12 공통 총무/HR 연말 회식비,,,70000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F00300,공통_총무,3300076609,2025-12-18,2025-12-18,25.12 공통 총무/HR 연말 회식비,,,70000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F02300,공통_안전보건팀,3300076609,2025-12-18,2025-12-18,25.12 공통 총무/HR 연말 회식비,,,70000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F00500,공통_HR팀,3300076609,2025-12-18,2025-12-18,25.12 공통 총무/HR 연말 회식비,,,70000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F00300,공통_총무,3300076609,2025-12-18,2025-12-18,25.12 공통 총무/HR 연말 회식비,,,70000.0,S
202512,직원경비,복리후생비,55010109,복리후생비_회식대,F00300,공통_총무,3300076609,2025-12-18,2025-12-18,25.12 공통 총무/HR 연말 회식비,,,70000.0,S
