YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202512,직원경비,복리후생비,55010119,복리후생비_부서,F00000,공통_공통,3200007786,2025-12-26,2025-12-26,25.12 비즈동호회 활동비 정산 건,,,3050000.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F05100,공통_마케팅본부,3300071635,2025-12-18,2025-12-18,에프앤에프 마케팅 본부 8층 트리 꾸미기,,,498650.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F00800,공통_경영관리팀,3200007880,2025-12-31,2025-12-31,[경영지원부문] 복리후생비 정산(1),,,310000.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F00700,공통_회계팀,3200007880,2025-12-31,2025-12-31,[경영지원부문] 복리후생비 정산(1),,,290000.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F02500,공통_자금팀,3200007880,2025-12-31,2025-12-31,[경영지원부문] 복리후생비 정산(1),,,290000.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F02700,공통_Process담당,3300076400,2025-12-08,2025-12-08,부서비,,,228182.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F02700,공통_Process담당,3300076513,2025-12-30,2025-12-30,부서비,,,221818.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F02700,공통_Process담당,3300076460,2025-12-16,2025-12-16,부서비,,,217273.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F02700,공통_Process담당,3300076452,2025-12-15,2025-12-15,부서비,,,200000.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F04400,공통_통합영업팀,3300071951,2025-12-11,2025-12-11,통합영업_12월 영업활동비,,,168182.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F00600,공통_공간기획팀,3300076327,2025-12-04,2025-12-04,시공업체 미팅,,,164545.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F02700,공통_Process담당,3300076418,2025-12-09,2025-12-09,부서비,,,151909.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F04400,공통_통합영업팀,3300071948,2025-12-10,2025-12-10,통합영업_12월 영업활동비,,,140000.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F02400,공통_경영기획팀,3300074261,2025-12-11,2025-12-11,STE분쟁관련 회의식대,,,130909.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F04400,공통_통합영업팀,3300075906,2025-12-11,2025-12-11,ST_롯데매입 스포츠팀 중식,,,122727.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F02700,공통_Process담당,3300076398,2025-12-08,2025-12-08,부서비,,,119091.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F05100,공통_마케팅본부,3300076520,2025-12-12,2025-12-12,본부장님 승진 케이크,,,118000.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F02500,공통_자금팀,3300074968,2025-12-31,2025-12-31,자금팀 송년식사,,,114545.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F04400,공통_통합영업팀,3300071919,2025-12-03,2025-12-03,통합영업_12월 영업활동비,,,109000.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F04400,공통_통합영업팀,3300075854,2025-12-31,2025-12-31,DV_12월 영업팀 복리후생비(팀중식),,,98182.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F02700,공통_Process담당,3300076461,2025-12-16,2025-12-16,부서비,,,98000.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F03400,공통_자산관리팀,3300075081,2025-12-29,2025-12-29,미팅,,,94909.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F04400,공통_통합영업팀,3300071940,2025-12-05,2025-12-05,통합영업_12월 영업활동비,,,94545.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F02700,공통_Process담당,3300076512,2025-12-23,2025-12-23,부서비,,,91818.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F05100,공통_마케팅본부,3300076648,2025-12-12,2025-12-12,25.12 본부장님 대관식 행사 폴라로이드대여,,,88410.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F04400,공통_통합영업팀,3200007933,2025-12-29,2025-12-29,신세계팩토리 한동윤부장 外 2명 식사 시 개인,,,85091.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F05100,공통_마케팅본부,3300072430,2025-12-11,2025-12-11,"MLB.MKT 12월 복리후생비_부서비,옷걸이",,,83480.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F00600,공통_공간기획팀,3300076361,2025-12-30,2025-12-30,북촌 고재 목재상 미팅,,,83000.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F02700,공통_Process담당,3300076465,2025-12-18,2025-12-18,부서비,,,81000.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F04400,공통_통합영업팀,3300071974,2025-12-21,2025-12-21,통합영업_12월 영업활동비,,,80000.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F00600,공통_공간기획팀,3300076367,2025-12-31,2025-12-31,공간기획팀 미팅,,,77273.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F02700,공통_Process담당,3300074529,2025-12-29,2025-12-29,부서비,,,76364.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F04400,공통_통합영업팀,3300075838,2025-12-17,2025-12-17,DV_12월 영업활동비(더현서매니저 식사),,,76364.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F05100,공통_마케팅본부,3300072815,2025-12-19,2025-12-19,복후비_최미연 대리 출산휴가 축하파티,,,75000.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F04400,공통_통합영업팀,3300071943,2025-12-09,2025-12-09,통합영업_12월 영업활동비,,,74545.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F04400,공통_통합영업팀,3300075897,2025-12-04,2025-12-04,한국테니스협회 중식,,,73860.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F00800,공통_경영관리팀,3300075592,2025-12-15,2025-12-15,경영관리 주간회의,,,72727.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F00700,공통_회계팀,3300074256,2025-12-30,2025-12-30,25.12 회계팀 재고실사 점심식대,,,72545.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F04400,공통_통합영업팀,3300075810,2025-12-09,2025-12-09,DV_12월 영업활동비(천호/하남매니저 식사),,,68182.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F02400,공통_경영기획팀,3300074263,2025-12-15,2025-12-15,업체미팅,,,67200.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F04400,공통_통합영업팀,3300075915,2025-12-18,2025-12-18,DV_롯데인천 오픈작업시 복리후생,,,64545.0,S
202512,직원경비,복리후생비,55010119,복리후생비_부서,F02400,공통_경영기획팀,3300074265,2025-12-17,2025-12-17,법무팀분쟁회의,,,62909.0,S
