YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202601,소모품비,소모품비,55110105,소모품비_샘플대,F00600,공통_공간기획팀,3400000317,2026-01-30,2026-01-30,Discovery 해외매뉴얼 샘플 제작 세금계산서 정산_비투엔,,,1290000.0,S
202601,소모품비,소모품비,55110105,소모품비_샘플대,F04800,공통_해외사업팀,3400000196,2026-01-26,2026-01-26,MLB 박스 실링스티커 발주,,,600000.0,S
202601,소모품비,소모품비,55110105,소모품비_샘플대,F04800,공통_해외사업팀,3400000008,2026-01-05,2026-01-05,수입통관비,,,118455.0,S
202601,소모품비,소모품비,55110105,소모품비_샘플대,F00600,공통_공간기획팀,3400000222,2026-01-26,2026-01-26,무늬목 마감재 샘플북 구입의 건,,,100000.0,S
202601,소모품비,소모품비,55110105,소모품비_샘플대,F00600,공통_공간기획팀,3300006359,2026-01-07,2026-01-07,3D프린터 소모품,,,81000.0,S
202601,소모품비,소모품비,55110105,소모품비_샘플대,F04800,공통_해외사업팀,3400000070,2026-01-12,2026-01-12,DHL 부가세 정산,,,60939.0,S
202601,소모품비,소모품비,55110105,소모품비_샘플대,F00600,공통_공간기획팀,3400000481,2026-01-30,2026-01-30,스페셜도장 샘플 카달로그 구입의 건,,,43636.0,S
202601,소모품비,소모품비,55110105,소모품비_샘플대,F04800,공통_해외사업팀,3200000132,2026-01-14,2026-01-14,DHL 관세 정산,,,7010.0,S
202601,소모품비,소모품비,55110105,소모품비_샘플대,F01300,공통_IT팀,3400000897,2026-01-23,2026-01-23,26년01월 홍일 샘플비-MLB,,,910.0,S
202601,소모품비,소모품비,55110105,소모품비_샘플대,F04800,공통_해외사업팀,1200000071,2026-01-28,2026-01-09,DHL 수입 관부가세 선급대체,,,-7010.0,H
202601,소모품비,소모품비,55110105,소모품비_샘플대,F04800,공통_해외사업팀,1200000070,2026-01-28,2026-01-09,DHL 수입 관부가세 선급대체,,,-53929.0,H
