YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F00400,공통_법무팀,3200000525,2026-01-31,2026-01-31,26년 1월 요가 동호회비 정산 (활동비),,,2066200.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F03300,공통_무역팀,3400000949,2026-01-16,2026-01-16,26.01월 꽃꽂이 동호회 지원금 신청,,,2000000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F00300,공통_총무,3300005089,2026-01-20,2026-01-20,26년 01월 임직원 생일케이크 구매,,,1974545.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F00500,공통_HR팀,3400001487,2026-01-05,2026-01-05,2026.01월 동호회비 정산(에프힙),,,1454545.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F00300,공통_총무,3300005092,2026-01-27,2026-01-27,26년 01월 임직원 생일화분 구매,,,1384545.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F00300,공통_총무,3200000625,2026-01-30,2026-01-30,F45 동호회_26년1월_강사료,,,930000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F00000,공통_공통,3200000309,2026-01-27,2026-01-27,26.01월 동호회 지원금 신청(필라리맘보),,,860200.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F00300,공통_총무,3200000626,2026-01-30,2026-01-30,F45 동호회_26년1월_식대,,,580000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F05200,공통_통합온라인채널팀,3200000014,2026-01-05,2026-01-05,26.01 산전검사 비용 신청의 건,,,500000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F00400,공통_법무팀,3200000522,2026-01-31,2026-01-31,26년 1월 요가 동호회비 정산 (강사료),,,480000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F05100,공통_마케팅본부,3200000327,2026-01-27,2026-01-27,26.01. 레벨업 프로그램 참여 증빙,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F00400,공통_법무팀,3200000367,2026-01-29,2026-01-29,26년 1월 레벨업 프로그램 정산,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F04800,공통_해외사업팀,3200000019,2026-01-05,2026-01-05,LEVEL-UP 프로그램 지원비_1월,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F02900,공통_AX팀,3200000394,2026-01-29,2026-01-29,26년 1월 AX팀 레벨업 지원금,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F03300,공통_무역팀,3200000554,2026-01-31,2026-01-31,26. 1월 레벨업 프로그램(어학-영어),,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F00800,공통_경영관리팀,3200000583,2026-01-30,2026-01-30,26년 1월 공통 경영관리팀 레벨업 정산의 건,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F04400,공통_통합영업팀,3200000642,2026-01-02,2026-02-06,26.02월 복리후생비총무지원레벨업,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F05100,공통_마케팅본부,3200000569,2026-01-15,2026-01-15,26.1월 레벨업 지원비_이하린,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F00400,공통_법무팀,3200000619,2026-01-31,2026-01-31,26년 1월 레벨업 프로그램 정산 신청,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F03000,공통_AI 엔지니어링팀,3200000609,2026-01-31,2026-02-04,2026년 1월 ai엔지니어링팀 김병우 담당 레벨업의 건,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F05100,공통_마케팅본부,3200000585,2026-01-31,2026-01-31,MLB.MKT 26.1월 레벨업 지원비_이가,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F02900,공통_AX팀,3200000635,2026-01-31,2026-01-31,26년 1월 AX팀 윤은경 레벨업,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F00800,공통_경영관리팀,3200000627,2026-01-30,2026-02-04,26.01 레벨업프로그램,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F05100,공통_마케팅본부,3200000650,2026-01-30,2026-01-06,DX 26.01 레벨업 프로그램 증빙,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F02900,공통_AX팀,3200000513,2026-01-31,2026-01-31,26.1월 레벨업 지원금 신청,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F04800,공통_해외사업팀,3200000443,2026-01-30,2026-01-30,26.01월 레벨업 프로그램 지원비,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F05200,공통_통합온라인채널팀,3200000434,2026-01-31,2026-01-01,레벨업 프로그램 교육비 신청(1),,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F02500,공통_자금팀,3200000341,2026-01-28,2026-01-28,2026.01월 레벨업 프로그램 지원,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F02500,공통_자금팀,3200000345,2026-01-28,2026-01-28,2026.1월 레벨업 프로그램 지원,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F02900,공통_AX팀,3200000529,2026-01-31,2026-01-31,26.01 AX팀 김효은 레벨업 지원금,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F03300,공통_무역팀,3200000511,2026-01-31,2026-01-31,26. 1월 LEVEL-UP PROGRAM,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F04800,공통_해외사업팀,3200000558,2026-01-31,2026-01-31,26.01월 레벨업 프로그램 지원비,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F00200,공통_경영개선팀,3200000419,2026-01-30,2026-01-30,26년 1월 레벨업 프로그램 정산,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F01300,공통_IT팀,3200000408,2026-01-31,2026-01-27,26년 01월 레벨업 결제의 건,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F04800,공통_해외사업팀,3200000432,2026-01-31,2026-01-31,26.1 레벨업 프로그램 지원비,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F02900,공통_AX팀,3200000539,2026-01-30,2026-01-30,AX팀 레벨업 지원금,,,200000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F05100,공통_마케팅본부,3200000431,2026-01-30,2026-01-30,26.01 LEVEL UP(어학),,,192542.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F00400,공통_법무팀,3200000505,2026-01-26,2026-01-26,LEVEL UP,,,186000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F00700,공통_회계팀,3200000500,2026-01-31,2026-01-31,26.01 레벨업 정산_류기욱대리,,,180000.0,S
202601,직원경비,복리후생비,55010125,복리후생비_총무지원,F02400,공통_경영기획팀,3200000409,2026-01-30,2026-01-30,26년 1월 레벨업 프로그램 지원의 건,,,176000.0,S
