YYYYMM,계정대분류,계정중분류,G/L 계정,G/L 계정 설명,코스트 센터,코스트센터명,전표 번호,전기일,증빙일,텍스트,거래처명,공급업체,금액_정제,차변/대변지시자
202510,인건비,인건비,53010107,임원급여,F00100,공통_임원,8100000011,2025-10-28,2025-10-28,25.10월_공통_임원_급여,,,475799512.0,S
202510,지급수수료,CI사용료,55210191,지급수수료_그룹CI사용료,F00000,공통_공통,8000201094,2025-10-31,2025-10-31,[25.10결산] 그룹브랜드(CI)사용료,,,239000000.0,S
202510,인건비,인건비,53010101,급료와임금,F01200,공통_e-BIZ팀,8100000011,2025-10-28,2025-10-28,25.10월_디지털본부_e-BIZ팀_급여,,,129879204.0,S
202510,지급수수료,전문용역,55210121,지급수수료_법률자문료,F00400,공통_법무팀,3200006089,2025-10-02,2025-10-02,BCLP - 모빈 분쟁 대응 법률비용 7월,,,128375713.0,S
202510,지급수수료,지급수수료,55210179,지급수수료_지급용역비,F00800,공통_경영관리팀,3400011334,2025-10-31,2025-10-31,25년 10월 영업관리/고객관리 도급비용 정산,,,126700000.0,S
202510,IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F01900,공통_Process팀,4000000118,2025-10-31,2025-10-31,AFB/01/2025/010/01,,,118066667.0,S
202510,인건비,인건비,53010101,급료와임금,F01300,공통_IT팀,8100000011,2025-10-28,2025-10-28,25.10월_디지털본부_Web Platform팀_급여,,,114724594.0,S
202510,인건비,인건비,53010103,제수당,F01300,공통_IT팀,8100000011,2025-10-28,2025-10-28,25.10월_디지털본부_Web Platform팀_제수당,,,108253252.0,S
202510,IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F01900,공통_Process팀,4000000118,2025-10-31,2025-10-31,AFB/01/2025/010/01,,,93666667.0,S
202510,인건비,인건비,53010101,급료와임금,F01300,공통_IT팀,8100000011,2025-10-28,2025-10-28,25.10월_디지털본부_Enterprise Solution팀_급여,,,91922768.0,S
202510,인건비,인건비,53010103,제수당,F01300,공통_IT팀,8100000011,2025-10-28,2025-10-28,25.10월_디지털본부_Enterprise Solution팀_제수당,,,86838537.0,S
202510,IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F01900,공통_Process팀,4000000118,2025-10-31,2025-10-31,AFB/01/2025/010/01,,,77833333.0,S
202510,인건비,인건비,53010103,제수당,F01200,공통_e-BIZ팀,8100000011,2025-10-28,2025-10-28,25.10월_디지털본부_e-BIZ팀_제수당,,,76218561.0,S
202510,인건비,인건비,53010101,급료와임금,F02900,공통_AX팀,8100000011,2025-10-28,2025-10-28,25.10월_디지털본부_AX팀_급여,,,75598066.0,S
202510,인건비,인건비,53010103,제수당,F02900,공통_AX팀,8100000011,2025-10-28,2025-10-28,25.10월_디지털본부_AX팀_제수당,,,74321706.0,S
202510,인건비,인건비,53010101,급료와임금,F00800,공통_경영관리팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_경영관리팀_급여,,,61551332.0,S
202510,지급수수료,지급수수료,55210123,지급수수료_온라인몰운영비,F01300,공통_IT팀,3400011151,2025-10-24,2025-10-24,25년 10월 자사몰 FE 개발 및 운영,,,60000000.0,S
202510,인건비,인건비,53010101,급료와임금,F04500,공통_통합소싱팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_통합소싱팀_급여,,,54695012.0,S
202510,인건비,인건비,53010103,제수당,F00800,공통_경영관리팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_경영관리팀_제수당,,,53895363.0,S
202510,지급수수료,지급수수료,55210179,지급수수료_지급용역비,F00300,공통_총무,3400011916,2025-10-31,2025-10-31,25.10 이천 A/B동 도급비(미화/보안),,,53724051.0,S
202510,인건비,인건비,53010101,급료와임금,F00700,공통_회계팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_회계팀_급여,,,51529517.0,S
202510,지급수수료,전문용역,55210129,지급수수료_컨설팅,F02600,공통_정보보안팀,3400011230,2025-10-28,2025-10-28,정보보호인증 갱신심사 컨설팅 착수금,,,50600000.0,S
202510,IT수수료,IT수수료,55210115,지급수수료_IT사용료,F01300,공통_IT팀,3400011068,2025-10-01,2025-10-01,AWS Cloud 비용 FNF통합 25.09,,,49841662.0,S
202510,인건비,인건비,53010103,제수당,F00700,공통_회계팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_회계팀_제수당,,,49102759.0,S
202510,인건비,인건비,53010103,제수당,F03900,공통_퍼포먼스마케팅팀,8100000011,2025-10-28,2025-10-28,25.10월_디지털본부_퍼포먼스마케팅팀_제수당,,,48500350.0,S
202510,인건비,인건비,53010103,제수당,F04500,공통_통합소싱팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_통합소싱팀_제수당,,,47761244.0,S
202510,인건비,인건비,53010101,급료와임금,F03900,공통_퍼포먼스마케팅팀,8100000011,2025-10-28,2025-10-28,25.10월_디지털본부_퍼포먼스마케팅팀_급여,,,47713493.0,S
202510,인건비,인건비,53030101,퇴직급여충당금전입액,F01300,공통_IT팀,8000201077,2025-10-31,2025-10-31,[25.10결산] 퇴직급여 반영,,,42987337.0,S
202510,지급수수료,지급수수료,55210123,지급수수료_온라인몰운영비,F01200,공통_e-BIZ팀,3400011141,2025-10-27,2025-10-27,25.10월 운영대행사 외주용역 수수료,,,42500000.0,S
202510,IT수수료,IT수수료,55210115,지급수수료_IT사용료,F03200,공통_PI팀,1900000357,2025-10-31,2025-10-31,25.10월_PLM 솔루션 연간 라이센스 비용,,,41637158.0,S
202510,기타비용,수도광열비,55090101,수도광열비,F00000,공통_공통,3400010981,2025-10-13,2025-10-13,이천 A동 전기 요금,,,40796409.0,S
202510,인건비,인건비,53010103,제수당,F00400,공통_법무팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_법무팀_제수당,,,40543839.0,S
202510,인건비,인건비,53010101,급료와임금,F00500,공통_HR팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_HR팀_급여,,,40204333.0,S
202510,인건비,인건비,53010101,급료와임금,F00400,공통_법무팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_법무팀_급여,,,39414272.0,S
202510,인건비,인건비,53010103,제수당,F00500,공통_HR팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_HR팀_제수당,,,37529996.0,S
202510,인건비,인건비,53010103,제수당,F03300,공통_무역팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_무역팀_제수당,,,36270442.0,S
202510,인건비,인건비,53010103,제수당,F03000,공통_AI 엔지니어링팀,8100000011,2025-10-28,2025-10-28,25.10월_디지털본부_AI Engineering팀_제수당,,,35880497.0,S
202510,인건비,인건비,53010101,급료와임금,F03300,공통_무역팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_무역팀_급여,,,35521107.0,S
202510,기타비용,보험료,55330109,보험료_재산종합보험료,F00000,공통_공통,1900000362,2025-10-31,2025-10-31,25.10월_25년 재산종합보험료,,,35345723.0,S
202510,인건비,인건비,53010101,급료와임금,F03000,공통_AI 엔지니어링팀,8100000011,2025-10-28,2025-10-28,25.10월_디지털본부_AI Engineering팀_급여,,,34430981.0,S
202510,인건비,인건비,53030101,퇴직급여충당금전입액,F00100,공통_임원,8000201077,2025-10-31,2025-10-31,[25.10결산] 퇴직급여 반영,,,33769500.0,S
202510,IT수수료,IT수수료,55210115,지급수수료_IT사용료,F01300,공통_IT팀,1900000360,2025-10-31,2025-10-31,25.10월_M365 라이선스,,,33678290.0,S
202510,인건비,인건비,53010103,제수당,F02400,공통_경영기획팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_경영기획_제수당,,,32437854.0,S
202510,인건비,인건비,53010101,급료와임금,F02500,공통_자금팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_자금팀_급여,,,32034913.0,S
202510,지급수수료,지급수수료,55210123,지급수수료_온라인몰운영비,F01200,공통_e-BIZ팀,3400011526,2025-10-31,2025-10-31,25.10 자사몰 운영 대행(요일),,,32000000.0,S
202510,인건비,인건비,53010101,급료와임금,F02400,공통_경영기획팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_경영기획_급여,,,29633645.0,S
202510,IT수수료,IT수수료,55210115,지급수수료_IT사용료,F01300,공통_IT팀,3400011007,2025-10-15,2025-10-15,25.09 FNF AWS 인프라 사용료(웅진),,,29383200.0,S
202510,기타비용,세금과공과,55130115,세금과공과_주민세종업원분,F00000,공통_공통,1100001922,2025-10-31,2025-10-31,25.10 종업원분,,,29098880.0,S
202510,IT수수료,IT수수료,55210115,지급수수료_IT사용료,F01300,공통_IT팀,3400011065,2025-10-01,2025-10-01,AWS Cloud 비용 Dist 25.09,,,28978021.0,S
202510,IT수수료,IT수수료,55210115,지급수수료_IT사용료,F01300,공통_IT팀,3400011064,2025-10-01,2025-10-01,AWS Cloud 비용 EC-Neo 25.09,,,28738465.0,S
202510,기타비용,수도광열비,55090101,수도광열비,F00000,공통_공통,3400010980,2025-10-13,2025-10-13,이천 A동 전기 요금,,,28649874.0,S
202510,인건비,인건비,53010101,급료와임금,F01300,공통_IT팀,8100000011,2025-10-28,2025-10-28,25.10월_디지털본부_Enterprise Architecture팀_급여,,,28019791.0,S
202510,인건비,인건비,53010101,급료와임금,F00600,공통_공간기획팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_공간기획팀_급여,,,27427240.0,S
202510,인건비,인건비,53010103,제수당,F01300,공통_IT팀,8100000011,2025-10-28,2025-10-28,25.10월_디지털본부_Enterprise Architecture팀_제수당,,,26358425.0,S
202510,인건비,인건비,53010103,제수당,F00600,공통_공간기획팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_공간기획팀_제수당,,,26225165.0,S
202510,인건비,인건비,53010101,급료와임금,F00300,공통_총무,8100000011,2025-10-28,2025-10-28,25.10월_공통_비서팀_급여,,,26122254.0,S
202510,인건비,인건비,53010103,제수당,F00300,공통_총무,8100000011,2025-10-28,2025-10-28,25.10월_공통_비서팀_제수당,,,25777136.0,S
202510,인건비,인건비,53010101,급료와임금,F02600,공통_정보보안팀,8100000011,2025-10-28,2025-10-28,25.10월_디지털본부_정보보안팀_급여,,,25645922.0,S
202510,IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F01300,공통_IT팀,4000000118,2025-10-31,2025-10-31,AFB/01/2025/010/01,,,25241667.0,S
202510,IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F01900,공통_Process팀,4000000118,2025-10-31,2025-10-31,AFB/01/2025/010/01,,,24419444.0,S
202510,인건비,인건비,53010103,제수당,F02600,공통_정보보안팀,8100000011,2025-10-28,2025-10-28,25.10월_디지털본부_정보보안팀_제수당,,,23724749.0,S
202510,IT수수료,IT수수료,55210115,지급수수료_IT사용료,F01300,공통_IT팀,3400010971,2025-10-13,2025-10-13,Alibaba Cloud 비용 25.09,,,23499055.0,S
202510,IT수수료,IT수수료,55210115,지급수수료_IT사용료,F03000,공통_AI 엔지니어링팀,3400011949,2025-10-01,2025-10-01,2025년 9월 AWS 이용료 전표 처리,,,23431728.0,S
202510,인건비,인건비,53010103,제수당,F04800,공통_해외사업팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_Commercial팀_제수당,,,23400114.0,S
202510,인건비,인건비,53010101,급료와임금,F00500,공통_HR팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_HR총무담당_급여,,,23333334.0,S
202510,인건비,인건비,53010101,급료와임금,F00200,공통_경영개선팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_경영개선팀_급여,,,22931614.0,S
202510,인건비,인건비,53010103,제수당,F00200,공통_경영개선팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_경영개선팀_제수당,,,22325136.0,S
202510,인건비,인건비,53010103,제수당,F02500,공통_자금팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_자금팀_제수당,,,22250635.0,S
202510,인건비,인건비,53010101,급료와임금,F00400,공통_법무팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_법무담당_급여,,,22013167.0,S
202510,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F01300,공통_IT팀,3400011158,2025-10-25,2025-10-25,25년 10월 웹플랫폼팀 인프라 운영,,,21900000.0,S
202510,인건비,인건비,53030101,퇴직급여충당금전입액,F01200,공통_e-BIZ팀,8000201077,2025-10-31,2025-10-31,[25.10결산] 퇴직급여 반영,,,21561928.0,S
202510,IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F01900,공통_Process팀,4000000118,2025-10-31,2025-10-31,AFB/01/2025/010/01,,,21500000.0,S
202510,IT수수료,IT수수료,55210115,지급수수료_IT사용료,F01300,공통_IT팀,3400011238,2025-10-29,2025-10-29,Datadog 모니터링 비용 - 2025.10,,,21491796.0,S
202510,IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F01900,공통_Process팀,4000000118,2025-10-31,2025-10-31,AFB/01/2025/010/01,,,21333333.0,S
202510,인건비,인건비,53010101,급료와임금,F01300,공통_IT팀,8100000011,2025-10-28,2025-10-28,25.10월_디지털본부_IT담당_급여,,,21270750.0,S
202510,인건비,인건비,53010103,제수당,F00500,공통_HR팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_HR총무담당_제수당,,,20367410.0,S
202510,인건비,인건비,53010101,급료와임금,F01300,공통_IT팀,8100000011,2025-10-28,2025-10-28,25.10월_디지털본부_디지털본부담당_급여,,,20366750.0,S
202510,IT수수료,IT수수료,55210115,지급수수료_IT사용료,F03200,공통_PI팀,1900000364,2025-10-31,2025-10-31,25.10월_마크비전 연간 서비스 이용료,,,20322419.0,S
202510,인건비,인건비,53010101,급료와임금,F04900,공통_통합인플루언서마케팅팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_통합인플루언서마케팅팀_급여,,,19384215.0,S
202510,IT수수료,SW상각비,55270113,감가상각비_소프트웨어,F01900,공통_Process팀,4000000118,2025-10-31,2025-10-31,AFB/01/2025/010/01,,,19233333.0,S
202510,IT수수료,IT수수료,55210113,지급수수료_IT유지보수비,F01300,공통_IT팀,3400011046,2025-10-01,2025-10-01,AWS MSP 비용 25.09,,,19064908.0,S
202510,IT수수료,IT수수료,55210115,지급수수료_IT사용료,F01300,공통_IT팀,3400011066,2025-10-01,2025-10-01,AWS Cloud 비용 VDI 25.09,,,18966575.0,S
202510,인건비,인건비,53010103,제수당,F04900,공통_통합인플루언서마케팅팀,8100000011,2025-10-28,2025-10-28,25.10월_공통_통합인플루언서마케팅팀_제수당,,,18512118.0,S
